gene_symbol,association_score,disease
KCNJ11,0.8651421397012851,Type 2 Diabetes
ABCC8,0.8648497626926691,Type 2 Diabetes
GCK,0.8612340179356642,Type 2 Diabetes
PPARG,0.8486094742672278,Type 2 Diabetes
INSR,0.788737101505948,Type 2 Diabetes
HNF1B,0.7845862621103779,Type 2 Diabetes
HNF1A,0.7796412149128071,Type 2 Diabetes
HNF4A,0.7763132041013777,Type 2 Diabetes
WFS1,0.7695113148537099,Type 2 Diabetes
GLP1R,0.7667004145281737,Type 2 Diabetes
SLC2A2,0.7421463864988622,Type 2 Diabetes
AKT2,0.7175050338173924,Type 2 Diabetes
GPD2,0.7068921905305894,Type 2 Diabetes
SLC30A8,0.6974093822415375,Type 2 Diabetes
TCF7L2,0.6772682024701681,Type 2 Diabetes
PAX4,0.6761979218577042,Type 2 Diabetes
NDUFS4,0.6749684045061369,Type 2 Diabetes
GIPR,0.6743302170705993,Type 2 Diabetes
NEUROD1,0.671465857855922,Type 2 Diabetes
MT-ND1,0.6556905258463207,Type 2 Diabetes
ENPP1,0.6538895558580068,Type 2 Diabetes
DPP4,0.6432827162361505,Type 2 Diabetes
NDUFS3,0.6427179016186971,Type 2 Diabetes
KCNQ1,0.6355195912918692,Type 2 Diabetes
SLC5A2,0.6351936842942173,Type 2 Diabetes
HMGCR,0.6342492877983139,Type 2 Diabetes
CDKAL1,0.6301224563431727,Type 2 Diabetes
NDUFB8,0.6288540501591654,Type 2 Diabetes
RFX6,0.6247057987125729,Type 2 Diabetes
NDUFA13,0.618703076068161,Type 2 Diabetes
PPARA,0.6178174016419498,Type 2 Diabetes
NDUFA5,0.6174892005795394,Type 2 Diabetes
NDUFB6,0.6168825853298671,Type 2 Diabetes
MT-ND6,0.616156509035007,Type 2 Diabetes
NDUFB2,0.6145451510601535,Type 2 Diabetes
NDUFC2,0.613829473725224,Type 2 Diabetes
NDUFAB1,0.611704389560787,Type 2 Diabetes
MT-ND2,0.6108872242568398,Type 2 Diabetes
NDUFAF3,0.610673313096752,Type 2 Diabetes
MT-ND4,0.6103398411310162,Type 2 Diabetes
MT-ND4L,0.6096588677261778,Type 2 Diabetes
NDUFA10,0.6094278803169999,Type 2 Diabetes
MT-ND5,0.6093936596690952,Type 2 Diabetes
NDUFA1,0.6091583950062923,Type 2 Diabetes
NDUFS1,0.6089325406506516,Type 2 Diabetes
NDUFA2,0.6089325406506516,Type 2 Diabetes
MT-ND3,0.6088671499598877,Type 2 Diabetes
NDUFA12,0.6082857759049534,Type 2 Diabetes
NDUFB7,0.6082806428514161,Type 2 Diabetes
NDUFV1,0.6082806428514161,Type 2 Diabetes
COXFA4,0.6081933809412823,Type 2 Diabetes
NDUFS8,0.6081471834594466,Type 2 Diabetes
NDUFAF1,0.6080085910139399,Type 2 Diabetes
NDUFB4,0.6080085910139399,Type 2 Diabetes
NDUFB10,0.6080085910139399,Type 2 Diabetes
NDUFA11,0.6080085910139399,Type 2 Diabetes
NDUFS5,0.6080085910139399,Type 2 Diabetes
NDUFA6,0.6080085910139399,Type 2 Diabetes
NDUFAF2,0.6079161960502687,Type 2 Diabetes
NDUFS2,0.6076390111592552,Type 2 Diabetes
