gene_symbol,molecule_chembl_id,action_type,mechanism_of_action
GLP1R,CHEMBL3990012,AGONIST,Glucagon-like peptide 1 receptor agonist
GLP1R,CHEMBL4650495,AGONIST,Glucagon-like peptide 1 receptor agonist
GLP1R,CHEMBL5314776,AGONIST,Glucagon-like peptide 1 receptor agonist
GLP1R,CHEMBL5095485,AGONIST,Glucagon-like peptide 1 receptor agonist
AKT2,CHEMBL4751394,INHIBITOR,Serine/threonine-protein kinase AKT2 inhibitor
GPD2,CHEMBL1703,INHIBITOR,Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor
GIPR,CHEMBL4297839,AGONIST,Gastric inhibitory polypeptide receptor agonist
GIPR,CHEMBL5095485,AGONIST,Gastric inhibitory polypeptide receptor agonist
DPP4,CHEMBL227529,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL1201174,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL237500,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL1201743,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL515387,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL591118,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL2105754,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL2105762,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL142703,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL3833357,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL4296719,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL3707235,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL2147777,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL1929396,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL1779710,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL4297624,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL1082462,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL5315049,INHIBITOR,Dipeptidyl peptidase IV inhibitor
DPP4,CHEMBL6068334,INHIBITOR,Dipeptidyl peptidase IV inhibitor
SLC5A2,CHEMBL4594217,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL2107830,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL2103802,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL2028665,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL2105711,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL1770248,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL1808388,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL3039507,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL429910,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL4297658,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
SLC5A2,CHEMBL4297625,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
