action_type,binding_site_comment,direct_interaction,disease_efficacy,max_phase,mec_id,mechanism_comment,mechanism_of_action,mechanism_refs,molecular_mechanism,molecule_chembl_id,parent_molecule_chembl_id,record_id,selectivity_comment,site_id,target_chembl_id,variant_sequence,gene_symbol
AGONIST,,1,1,1,4077,Development discontinued (http://fr.reuters.com/article/idUKL0461650920080404),Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': 'https://ncats.nih.gov/files/AVE0847.pdf', 'ref_type': 'Other', 'ref_url': 'https://ncats.nih.gov/files/AVE0847.pdf'}, {'ref_id': '20932114', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/20932114'}]",1,CHEMBL3545295,CHEMBL3545295,2473483,,,CHEMBL235,,PPARG
AGONIST,,1,1,2,4081,Ph1b study completed in 2011 (no trial ID). Compound outlicensed to T3D Therapeutics Inc in 2013.,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': 'http://www.darabio.com/media-center/press-releases?detail=134', 'ref_type': 'Other', 'ref_url': 'http://www.darabio.com/media-center/press-releases?detail=134'}, {'ref_id': 'http://www.t3dtherapeutics.com/product-portfolio/', 'ref_type': 'Other', 'ref_url': 'http://www.t3dtherapeutics.com/product-portfolio/'}]",1,CHEMBL3545176,CHEMBL3545176,2473185,,,CHEMBL235,,PPARG
AGONIST,,1,1,1,4083,"According to reports, Ph1 trial was completed but can't find trial ID or any further planned trials. Discontinued",Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '11569941', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/11569941'}, {'ref_id': '12898466', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/12898466'}]",1,CHEMBL5314405,CHEMBL5314405,2473333,,,CHEMBL235,,PPARG
MODULATOR,,1,1,2,4588,Drug in Ph1 or 2? Development status unknown.,Peroxisome proliferator-activated receptor gamma modulator,"[{'ref_id': '9830009', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/9830009'}]",1,CHEMBL93747,CHEMBL93747,1705873,,,CHEMBL235,,PPARG
AGONIST,,1,1,2,4589,"1000-fold less potent at PPARA. Last updated November 2009, discontinued?",Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '11698662', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/11698662'}]",1,CHEMBL107367,CHEMBL107367,1702920,,,CHEMBL235,,PPARG
AGONIST,,1,1,2,4591,"Development stopped (PMID:20932114). There are reports of adverse events associated with PPARalfa/gamma dual agonist, for example weight gain, increased risk of bladder cancer and hyperplasia.",Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': 'D08949', 'ref_type': 'KEGG', 'ref_url': None}, {'ref_id': '18474944', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/18474944'}, {'ref_id': '24524207', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/24524207'}]",1,CHEMBL181954,CHEMBL181954,1701418,,,CHEMBL235,,PPARG
AGONIST,,1,1,2,4593,,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': 'http://www.omeros.com/pipeline/pipeline.htm', 'ref_type': 'Other', 'ref_url': 'http://www.omeros.com/pipeline/pipeline.htm'}]",1,CHEMBL5095027,CHEMBL5095027,2473454,,,CHEMBL235,,PPARG
MODULATOR,,1,1,2,4594,"Ph2 study terminated, compound development discontinued. Selective PPAR gamma modulator (SPPAR?M)",Peroxisome proliferator-activated receptor gamma modulator,"[{'ref_id': '19507861', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/19507861'}]",1,CHEMBL490029,CHEMBL490029,2473584,,,CHEMBL235,,PPARG
MODULATOR,,1,1,2,4595,Selective PPAR gamma modulator (SPPAR?M),Peroxisome proliferator-activated receptor gamma modulator,[],1,CHEMBL3545020,CHEMBL3545020,2472874,,,CHEMBL235,,PPARG
MODULATOR,,1,1,2,4596,Selective PPAR gamma modulator (SPPAR?M),Peroxisome proliferator-activated receptor gamma modulator,"[{'ref_id': 'http://www.intekrin.com/int131.html', 'ref_type': 'Other', 'ref_url': 'http://www.intekrin.com/int131.html'}, {'ref_id': '19452630', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/19452630'}, {'ref_id': '23294830', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/23294830'}]",1,CHEMBL1236924,CHEMBL1236924,2473142,,,CHEMBL235,,PPARG
MODULATOR,,1,1,2,4597,Selective PPAR gamma modulator (SPPAR?M) properties. Discontinued no advantage was demonstrated in clinical trials compared existing peroxisome proliferator activated receptor (PPAR) agonists,Peroxisome proliferator-activated receptor gamma modulator,"[{'ref_id': '16125538', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/16125538'}, {'ref_id': '16314690', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/16314690'}]",1,CHEMBL3545278,CHEMBL3545278,2473455,,,CHEMBL235,,PPARG
AGONIST,,1,1,2,4598,"Daichii Sankyo has suspended inhouse development in jan 2013, supports external development of the compound.",Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': 'http://chem.sis.nlm.nih.gov/chemidplus/rn/223132-38-5', 'ref_type': 'Other', 'ref_url': 'http://chem.sis.nlm.nih.gov/chemidplus/rn/223132-38-5'}, {'ref_id': 'http://www.daiichisankyo.com/media_investors/investor_relations/ir_calendar/files/005203/Reference%20Data.pdf', 'ref_type': 'Other', 'ref_url': 'http://www.daiichisankyo.com/media_investors/investor_relations/ir_calendar/files/005203/Reference%20Data.pdf'}, {'ref_id': '18511262', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/18511262'}]",1,CHEMBL3545279,CHEMBL3545280,2473456,,,CHEMBL235,,PPARG
MODULATOR,,1,1,2,4599,"Selective PPAR gamma modulator (SPPAR?M), SLC22A12 inhibitor",Peroxisome proliferator-activated receptor gamma modulator,"[{'ref_id': '22404217', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/22404217'}]",1,CHEMBL2103824,CHEMBL2103824,1699797,,,CHEMBL235,,PPARG
AGONIST,,1,1,2,5077,,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '10.1155/2008/827096', 'ref_type': 'DOI', 'ref_url': 'http://www.hindawi.com/journals/ppar/2008/827096/'}, {'ref_id': 'Etalocib', 'ref_type': 'Wikipedia', 'ref_url': 'http://en.wikipedia.org/wiki/Etalocib'}]",1,CHEMBL329123,CHEMBL329123,1701406,,,CHEMBL235,,PPARG
